grid_id,link
grid.8440.8,http://www.iwes.fraunhofer.de/en.html
grid.8453.a,http://www.ineris.fr/en
grid.8461.b,http://www.uspceu.com/es/home.php
grid.8464.e,http://www.iberdrola.es/
grid.8465.f,http://www.diw.de/en
grid.8484.0,http://www.unife.it/
grid.8505.8,http://www.uni.wroc.pl/
grid.8509.4,http://www.uniroma3.it/
grid.8515.9,http://www.chuv.ch/
grid.8532.c,http://www.ufrgs.br/english/home
grid.8534.a,http://www.unifr.ch/home/welcomeE.php
grid.8536.8,http://www.ufrj.br/
grid.8547.e,http://www.fudan.edu.cn/en/
grid.8563.8,http://www.cric.cat/
grid.8570.a,http://www.ugm.ac.id/new/en
grid.8578.2,http://www.ugal.ro/
grid.8581.4,http://www.irta.cat/en-US/Pages/default.aspx
grid.8585.0,http://en.ug.edu.pl/
grid.8591.5,https://www.unige.ch/
grid.8647.d,http://www.um.si/en/Pages/default.aspx
